book_id,ቋንቋ,መጽሐፍ_ስም,ዓመታዊ_በዓላት,ወርሃዊ_ቀን,ሳምንታዊ_ቀናት,የዘወትር
GZ-MEL-081,GZ,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ ካልእ,ጥቅምት 12,,,
GZ-MEL-083,GZ,መልክዐ አቡነ ሰይፈ ሚካኤል በግእዝ,"ሰኔ 12, ኅዳር 12",12,,
GZ-MEL-085,GZ,መልክዐ አቡነ ሳሙኤል ዘዋልድባ በግእዝ,"ታኅሣሥ 12, ታኅሣሥ 9",,,
GZ-MEL-086,GZ,መልክዐ አቡነ ሳሙኤል ዘዋልድባ ካልዕ በግእዝ,"ታኅሣሥ 12, ታኅሣሥ 9",,,
GZ-MEL-090,GZ,መልክዐ አቡነ ተንሥአ መድኅን በግእዝ,ሰኔ 3,,,
GZ-MEL-092,GZ,መልክዐ አቡነ ተክለ ሃይማኖት በግእዝ,"ነሐሴ 24, ታኅሣሥ 24, ግንቦት 12",24,,
GZ-MEL-093,GZ,መልክዐ አቡነ ተክለ አልፋ በግእዝ,መጋቢት 24,24,,
GZ-MEL-094,GZ,መልክዐ አቡነ ቶማስ ዘዘናቁዴ በግእዝ,"ሚያዝያ 6, ግንቦት 26",,,
GZ-MEL-099,GZ,መልክዐ አቡነ አብሳዲ ዘደብረ ማርያም በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-100,GZ,መልክዐ አቡነ አፍቅረነ እግዚእ በግእዝ,ጥር 19,,,
GZ-MEL-102,GZ,መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ,ታኅሣሥ 7,,,
GZ-MEL-103,GZ,መልክዐ አቡነ እንድርያስ ዘደብረ ጽጌ በግእዝ,ታኅሣሥ 7,,,
GZ-MEL-105,GZ,መልክዐ አቡነ ዘርዐ ቡሩክ በግእዝ,"መስከረም 13, ጥቅምት 13, ጥር 13",13,,
GZ-MEL-106,GZ,መልክዐ አቡነ ዜና ማርቆስ በግእዝ,"ታኅሣሥ 3, መጋቢት 3",3,,
GZ-MEL-107,GZ,መልክዐ አቡነ የሐንስ ዘደብረ ቢዘን በግእዝ,ግንቦት 8,8,,
GZ-MEL-108,GZ,መልክዐ አቡነ ይምአታ በግእዝ,ጥቅምት 28,,,
GZ-MEL-109,GZ,መልክዐ አቡነ ዮሐንስ ከማ በግእዝ,ነሐሴ 25,14,,
GZ-MEL-110,GZ,መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ,ታኅሣሥ 28,4,,
GZ-MEL-113,GZ,መልክዐ አቡነ ዮናስ ዘደብረ ድኁኃን ዘደብረ ጽጌ ወዘደብረ ጽዮን በግእዝ,,,,
GZ-MEL-115,GZ,መልክዐ አቡነ ጰንጠሌዎን በግእዝ,ጥቅምት 6,,,
GZ-MEL-120,GZ,መልክዐ አቡነ ፊልጶስ ዘደብረ ቢዘን በግእዝ,ነሐሴ 5,,,
GZ-MEL-121,GZ,መልክዐ አባ በጸሎተ ሚካኤል በግእዝ,ሰኔ 12,12,,
GZ-MEL-123,GZ,መልክዐ አባ ጊዮርጊስ ዘጋሥጫ በግእዝ,ሐምሌ 7,23,,
GZ-MEL-124,GZ,መልክዐ አብርሃም ይሥሐቅ ወያዕቆብ በግእዝ,ነሐሴ 24,,,
GZ-MEL-125,GZ,መልክዐ አእላፍ መላእክት በግእዝ,ኅዳር 13,,,
GZ-MEL-126,GZ,መልክዐ አእላፍ መላእክት ካልእ በግእዝ,ኅዳር 13,,,
GZ-MEL-127,GZ,መልክዐ አዳም ወሔዋን በግእዝ,ሚያዝያ 6,,,
GZ-MEL-128,GZ,መልክዐ አᎄነ አሮን መንክራዌ በግእዝ,ግንቦት 19,21,,
GZ-MEL-129,GZ,መልክዐ ኢትዮጵያ በግዕዝ,መስከረም 1,,,
GZ-MEL-131,GZ,መልክዐ ኢየሱስ በግእዝ,"ታኅሣሥ 29, መጋቢት 29",29,,
GZ-MEL-132,GZ,መልክዐ ኢየሱስ ካልዕ በግእዝ,"ታኅሣሥ 29, መጋቢት 29",29,,
GZ-MEL-135,GZ,መልክዐ ኤዎስጣቴዎስ በግእዝ,መስከረም 18,18,,
GZ-MEL-136,GZ,መልክዐ እስትንፋሰ ክርስቶስ በግእዝ,"ጥር 9, መጋቢት 2",9,,
GZ-MEL-137,GZ,መልክዐ እንድርያስ ሐዋርያ በግእዝ,ታኅሣሥ 7,,,
GZ-MEL-138,GZ,መልክዐ እንጦንዮስ በግእዝ,,,,
GZ-MEL-139,GZ,መልክዐ እግዚአብሔር አብ በግእዝ,መስከረም 13,13,,
GZ-MEL-140,GZ,መልክዐ እግዚአብሔር አብ ካልዕ በግእዝ,መስከረም 13,13,,
GZ-MEL-141,GZ,መልክዐ ኪዳነ ምሕረት በግእዝ,የካቲት 16,16,,
GZ-MEL-142,GZ,መልክዐ ካህናተ ሰማይ በግእዝ,ኅዳር 24,24,,
GZ-MEL-143,GZ,መልክዐ ክርስቶስ ሠምራ በግእዝ,"ነሐሴ 24, ግንቦት 12",24,,
GZ-MEL-146,GZ,መልክዐ ያሬድ በግእዝ,"ኅዳር 11, ግንቦት 11",,,
GZ-MEL-147,GZ,መልክዐ ያሬድ ካልዕ በግእዝ,"ኅዳር 11, ግንቦት 11",,,
GZ-MEL-148,GZ,መልክዐ ይምርሃነ ክርስቶስ በግእዝ,"ጥቅምት 19, ግንቦት 19",,,
GZ-MEL-149,GZ,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,"ጥር 4, ግንቦት 4",4,,
GZ-MEL-150,GZ,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,"ጥር 4, ግንቦት 4",4,,
GZ-MEL-151,GZ,መልክዐ ገብረ መንፈስ ቅዱስ በግእዝ,"ጥቅምት 5, መጋቢት 5",5,,
GZ-MEL-152,GZ,መልክዐ ገብረ መንፈስ ቅዱስ ካልዕ በግእዝ,"ጥቅምት 5, መጋቢት 5",5,,
GZ-MEL-153,GZ,መልክዐ ገብረ ክርስቶስ በግእዝ,ጥቅምት 14,14,,
GZ-MEL-154,GZ,መልክዐ ጊዮርጊስ በግእዝ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
GZ-MEL-155,GZ,መልክዐ ጊዮርጊስ ካልዕ ወሥቃዩ በግእዝ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
GZ-MEL-157,GZ,መልክዐ ጰራቅሊጦስ በግእዝ,,,,
GZ-MEL-158,GZ,መልክዐ ጴጥሮስ ወጳውሎስ በግእዝ,ሐምሌ 5,5,,
GZ-MEL-159,GZ,መልክዐ ጸበለ ማርያም ቅድስት በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-161,GZ,መልክዐ ጽዮን ማርያም ሣልስ በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-163,GZ,መልክዐ ፍልሰታ በግእዝ,"ነሐሴ 1, ነሐሴ 16",,,
GZ-MEL-164,GZ,መልክዐ ፬ቱ እንስሳ በግእዝ,ኅዳር 8,,,
GZ-MEL-165,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእ,"ሰኔ 12, ኅዳር 12",12,,
GZ-MTS-001,GZ,መጽሐፈ ልደታ ለማርያም በግእዝ,ግንቦት 1,1,,
GZ-MTS-002,GZ,መጽሐፈ ሕይወት ዘትሰመይ ልፋፈ ጽድቅ በግእዝ,,,,
GZ-MTS-003,GZ,መጽሐፈ ሜላድ በግእዝ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MZM-001,GZ,መዝሙረ ክርስቶስ በግእዝ,"ታኅሣሥ 29, መጋቢት 29",29,,
GZ-MZM-002,GZ,መዝሙረ ክርስቶስ ካልዕ በግእዝ,"ታኅሣሥ 29, መጋቢት 29",29,,
GZ-MZM-003,GZ,መዝሙረ ክርስቶስ ዘመኃልየ መኃልይ። በግእዝ,"ታኅሣሥ 29, መጋቢት 29",29,,
GZ-SEL-001,GZ,ሰላም ለፍልሰተ ሥጋኪ በግእዝ,ነሐሴ 1,,,
GZ-SEY-002,GZ,ሰይፈ ሥላሴ በግእዝ,,7,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-SME-001,GZ,ስምዐ ጲላጦስ በግእዝ,መጋቢት 22,,,
GZ-TAM-001,GZ,ተአምረ ማርያም በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-TAM-002,GZ,ተአምረ ኢየሱስ በግእዝ,"ታኅሣሥ 29, መጋቢት 29",29,,
GZ-TBB-001,GZ,ጥበበ ሰሎሞን በግእዝ,ሰኔ 23,,,
GZ-TEA-001,GZ,ተአምኆ ቅዱሳን በግእዝ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-TSE-003,GZ,ጸሎተ ንድራ በግእዝ,,,,
GZ-TUL-001,GZ,መጽሐፈ ቱላዳን በግእዝ,,,,
GZ-WUD-002,GZ,ውዳሴ ማርያም በግእዝ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",
GZ-ZNA-001,GZ,ዜናሁ ለንጉሠ ነገሥት በካፋ በግእዝ,,,,
GZ-ZNA-002,GZ,ዜናሁ ለንጉሥ ገላውዴዎስ በግእዝ,"ሰኔ 11, የካቲት 12",,,
GZ-ZNA-003,GZ,ዜና ሕይወቱ ለንጉሥ ላልይበላ በግእዝ,"ሰኔ 12, ታኅሣሥ 29",,,
GZ-ZNA-004,GZ,ዜና ሥላሴ በግእዝ,,7,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
TI-GDL-001,TI,ገድሊ ኣቡነ ዘርኣ ቡሩክን ብትግርኛ,"ሰኔ 7, ጥቅምት 13, ጥር 13",,,
TI-GDL-002,TI,ገድሊ አቡነ እስትንፋስ ክርስቶስ ትግርኛ,"ጥር 9, መጋቢት 2",9,,
TI-MEL-001,TI,መልክአ ሥዕል ብትግርኛ,"መስከረም 26, ኅዳር 5",,,
TI-RAY-001,TI,ራእየ ማርያም ብትግርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
TI-TAM-001,TI,ተአምረ ኢየሱስ ብትግርኛ,"ታኅሣሥ 29, መጋቢት 29",29,,
TI-WUD-001,TI,ውዳሴ ማርያም ብትግርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",
TI-WUD-002,TI,ውዳሴ አምላክ ብትግርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",
