eth_date,day_id,sinksar_saints_count,tselot_books_count,matched,missing_count,match_rate_percent,missing_saints_list
2-24,54,12,12,4,8,33,ቅዱስ አብላርዮስ ገዳማዊ (annual) | ቅድስት አውስያ (annual) | አባ ዻውሎስ ሊቀ ዻዻሳት (annual) | ቅዱስ ቶማስ ዘመርዐስ (monthly) | አቡነ ዘዮሐንስ ጻድቅ ዘክብራን (monthly) | ቅዱስ አጋቢጦስ (ጻድቅ ኤዺስቆዾስ) (monthly) | ቅዱስ አብላርዮስ ታላቁ (monthly) | ቅዱስ አባ ሙሴ ጸሊም (ኢትዮዽያዊ) (monthly)
2-25,55,11,8,2,9,18,አባ ዕብሎይ ገዳማዊ (annual) | ቅዱስ ዮልዮስ ሰማዕት (annual) | ቅዱሳን አብርሃምና ሐሪክ (annual) | ቅዱሳን አሞኒና ሙስያ (የታላቁ ዕብሎ ወላጆች) (annual) | ቅድስት ቴክላ ሐዋርያዊት (monthly) | ቅዱስ አበከረዙን ሰማዕት (monthly) | ቅዱስ ዱማድዮስ ሶርያዊ (monthly) | ቅዱስ አቡፋና ጻድቅ (monthly) | ታላቁ አባ ቢጻርዮን (monthly)
2-26,56,9,3,2,7,22,ቅዱስ ያዕቆብ ሐዋርያ (ወልደ ዮሴፍ) (annual) | ቅዱስ ጢሞና ሐዋርያ ወዲያቆን (annual) | ቅዱስ ፊልዾስ (annual) | ቅዱስ ቶማስ ሐዋርያ (monthly) | አቡነ ሐብተ ማርያም ጻድቅ (monthly) | ቅዱሳን ሰማዕታተ ናግራን (monthly) | ቅዱስ አቡነ ሰላማ ከሣቴ ብርሃን (monthly)
2-27,57,9,15,3,6,33,ቅዱስ መቃርስ ብጹዓዊ (annual) | አባ ጽጌ ድንግል ዘወለቃ (annual) | ቅዱስ መቃርስ (የመነኮሳት ሁሉ አለቃ) (monthly) | ቅዱስ ያዕቆብ ዘግሙድ (monthly) | ቅዱስ ገላውዴዎስ ሰማዕት (ንጉሠ ኢትዮዽያ) (monthly) | ቅዱስ ቢፋሞን ጻድቅና ሰማዕት (monthly)
2-28,58,9,4,1,8,11,አባ ይምዓታ ጻድቅ (ከተስዓቱ ቅዱሳን) (annual) | ቅዱሳን መርትያኖስ ወመርቆሬዎስ (ሰማዕታት) (annual) | አባታችን ያፌት (የኖኅ ልጅ) (annual) | ቅዱሳን አበው (አብርሃም ይስሐቅና ያዕቆብ) (monthly) | ቅዱስ እንድራኒቆስና ሚስቱ ቅድስት አትናስያ (monthly) | ቅድስት ዓመተ ክ ክርስቶስ (monthly) | ቅዱስ ቴዎድሮስ ሮማዊ (ሰማዕት) (monthly) | ቅዱስ አባዲርና ቅድስት ኢራኢ (monthly)
2-29,59,10,12,4,6,40,አባ ጸቃውዐ ድንግል (ዘደብረ ዘኸኝ) (annual) | ቅዱስ ድሜጥሮስ ሰማዕት (annual) | ቅዱስ ስቅጣር ሰማዕት (annual) | ቅዱስ ዼጥሮስ ተፍጻሜተ ሰማዕት (monthly) | ቅዱስ ማርቆስ ዘቶርማቅ (monthly) | ቅድስት አርሴማ ድንግል (monthly)
2-30,60,9,5,2,7,22,ቅዱስ አርስጥቦሎስ (አባቱ) (annual) | ቅድስት ማርያም (እናቱ) (annual) | አባ አብርሃም ገዳማዊ (annual) | ቅዱስ ይስሐቅ ንጉሥ (annual) | ቅዱስ ጐርጐርዮስ ነባቤ መለኮት (monthly) | ቅድስት ሶፍያ ሰማዕት (monthly) | አባ ሣሉሲ ክቡር ጻድቅ (monthly)
3-1,61,7,13,4,3,57,ቅዱሳን መክሲሞስና ባልንጀሮቹ (ሰማዕታት) (annual) | ቅዱስ በርተሎሜዎስ ሐዋርያ (monthly) | ቅዱስ ሚልኪ ትሩፈ ምግባር (monthly)
3-2,62,11,4,2,9,18,አባ ዼጥሮስ ሊቀ ዻዻሳት ሣልስ (annual) | አባ ሱንትዩ ሊቀ ዻዻሳት (annual) | ቅድስት ሴቴንዋ ነቢዪት (annual) | ቅድስት አንስጣስያ (annual) | ቅዱስ ኢዮብ ጻድቅ ተአጋሲ (monthly) | ቅዱስ አቤል ጻድቅ (monthly) | ቅዱስ አባ ዻውሊ ገዳማዊ (ታላቁ) (monthly) | ሊቁ አባ ሕርያቆስ (monthly) | ቅዱስ ሳዊሮስ ዘአንጾኪያ (monthly)
3-3,63,12,14,6,6,50,ቅዱስ ኪርያቆስ ሊቅ (annual) | ቅዱሳን አትናቴዎስና እህቱ ኢራኢ (ሰማዕታት) (annual) | አቡነ ፍሬ ካህን (annual) | በዓታ ለእግዝእትነ ማርያም ድንግል ወላዲተ አምላክ (monthly) | ቅዱሳን ሊቃነ ካህናት አበው (ዘካርያስና ስምዖን) (monthly) | ቅዱስ ቄርሎስ ሊቅ (ዓምደ ሃይማኖት) (monthly)
3-4,64,10,11,5,5,50,ቅዱስ ቶማስ ዘደማስቆ (annual) | ቅዱሳን አቢማኮስ ወአዛርያኖስ (annual) | አባ አበጊዶ ዘትግራይ (annual) | ታላቁ አባ ዘካርያስ (annual) | ቅድስት ሶፍያ ሰማዕት (monthly)
3-5,65,9,14,3,6,33,አባ አሞኒ ዘናሕሶ (annual) | ቅዱስ ለንጊኖስ ሰማዕት (annual) | ቅዱስ ጢሞቴዎስ ሰማዕት (annual) | ቅዱስ ዼጥሮስ ሊቀ ሐዋርያት (monthly) | ቅዱስ ዻውሎስ ብርሃነ ዓለም (monthly) | ቅድስት አውጋንያ (ሰማዕትና ጻድቅ) (monthly)
3-6,66,13,13,3,10,23,ቅድስት ደብረ ቁስቁዋም (ሚጠታ ለማርያም ) (annual) | ቅዱስ ዮሴፍ አረጋዊ (annual) | ቅድስት ሰሎሜ ቡርክት (annual) | ቅዱስ ዮሳ (ወልደ ዮሴፍ) (annual) | ቅዱስ ቴዎፍሎስ ሊቅ (annual) | አባ ጽጌ ድንግል ዘወለቃ (annual) | አባ ፊልክስ ዘሮሜ (annual) | አባታችን ኖኅና እናታችን ሐይከል (monthly) | ቅዱስ ባስልዮስ ዘቂሣርያ (monthly) | አባ አርከ ሥሉስ (monthly)
3-7,67,13,19,5,8,38,ቅዱሳን ዘኖቢስና ዘኖብያ (ሰማዕታት) (annual) | ቅዱስ ሚናስ ዘተመይ (annual) | ቅዱሳን መርቆሬዎስና ዮሐንስ (ጻድቃን ወሰማዕት) (annual) | አባ ናሕርው ሰማዕት (annual) | አባ ሲኖዳ (የባሕታውያን አለቃ) (monthly) | አባ ዳንኤል ዘገዳመ ሲሐት (monthly) | አባ ባውላ ገዳማዊ (monthly) | ቅዱስ አትናቴዎስ ሐዋርያዊ (monthly)
3-8,68,10,10,3,7,30,አባ ቅፍሮንያ ጻድቅ (annual) | ቅዱስ ቆስጠንጢኖስ ንጉሥ (ዘምስለ ቅዱስ መስቀል) (annual) | ቅድስት እግዚእ ክብራ (annual) | ቅዱስ ሙሴ ሊቀ ነቢያት (monthly) | አባ ብሶይ (ቢሾይ) (monthly) | አባ ሳሙኤል ዘደብረ ቀልሞን (monthly) | ቅዱስ ማትያስ ሐዋርያ (ከ፲፪ቱ ሐዋርያት) (monthly)
3-9,69,10,9,3,7,30,ቅዱሳን ፫፲፰ቱ ሊቃውንት (annual) | ቅዱስ እለእስክንድሮስ ሊቅ (annual) | ቅዱስ አትናቴዎስ ሐዋርያዊ (annual) | አባ ይስሐቅ ሊቀ ዻዻሳት (annual) | ሊቁ አካለ ወልድ (annual) | አባ በርሱማ ሶርያዊ (ለሶርያ መነኮሳት ኁሉ አባት) (monthly) | የብሔረ ብፁዐን ጻድቃን (monthly)
3-10,70,12,6,3,9,25,ቅድስት ሶፍያ ሰማዕት (annual) | ደናግለ ሮሜ (ሰማዕታት) (annual) | ቅዱስ ዻውሎስ ሰማዕት (annual) | ቅዱስ ድሜጥሮስ ሊቅ (annual) | ጉቡዓን ኤዺስ ቆዾሳት (annual) | ቅዱስ ናትናኤል ሐዋርያ (monthly) | ቅዱስ ኒቆላዎስ ዘሃገረ ሜራ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ወልደ እልፍዮስ) (monthly) | ቅድስት ዕሌኒ ንግስት (monthly)
3-11,71,10,10,3,7,30,ቅድስት ሐና ቡርክት (annual) | ቅዱስ አርኬላዎስ ሰማዕት (annual) | አባ ኤልሳዕ አበ ምኔት (annual) | አባ ዻኩሚስ መነኮስ (annual) | ቅዱስ ሚናስ ሰማዕት (annual) | ቅድስት አውራንያ (የሰማዕቱ እናት) (annual) | ማር ገላውዴዎስ ሰማዕት (monthly)
3-12,72,14,18,4,10,29,ቅዱስ ኢያሱ ነቢይ (annual) | ቅዱሳን ዱራታኦስና ቴዎብስታ (annual) | አፄ በዕደ ማርያም ጻድቅ (annual) | ቅዱስ ዮሐንስ መጥምቅ (annual) | ቅዱስ ባሕራን ቀሲስ (annual) | አባ ፊላታዎስ ሊቀ ዻዻሳት (annual) | ቅዱስ ዮሐንስ አፈ ወርቅ (monthly) | ቅድስት ክርስቶስ ሠምራ (monthly) | ቅዱስ ማቴዎስ ሐዋርያ (monthly) | ቅዱስ ድሜጥሮስ ሊቅ (monthly)
3-13,73,9,16,4,5,44,"ቅዱስ አስከናፍር ሮማዊ (annual) | ""፲፫ቱ"" ግኁሳን አበው (ሽፍቶች የነበሩ) (annual) | ቅዱስ ጢሞቴዎስ ዘእንጽና (annual) | አባ ዘካርያስ ሊቀ ዻዻሳት (annual) | ቅዱስ አርሳንዮስ ጠቢብ ገዳማዊ (monthly)"
3-14,74,11,2,1,10,9,አባ ዳንኤል ገዳማዊ (annual) | አባ መርትያኖስ ካልዕ (ዘጠራክያ) (annual) | አባ ዮሐንስ ዘደብረ ቢዘን (ኤርትራ) (annual) | ቅድስት ደብረ ቀልሞን (annual) | አባ ስምዖን ገዳማዊ (monthly) | አባ ዮሐንስ ጻድቅ (monthly) | እናታችን ቅድስት ነሣሒት (monthly) | ቅዱስ ፊልዾስ ሐዋርያ (ከ፯፪ቱ አርድእት) (monthly) | ቅዱስ ገብረ ክርስቶስ መርዓዊ (monthly) | ቅዱስ ሙሴ መርዓዊ (monthly)
3-15,75,8,6,4,4,50,በዓተ ጾመ ነቢያት (annual) | ቅዱስ ኤፍሬም ሶርያዊ (አፈ በረከት) (monthly) | ቅድስት እንባ መሪና (monthly) | ቅድስት ክርስጢና (monthly)
3-16,76,12,3,5,7,42,አባ ዳንኤል ገዳማዊ (annual) | ቅዱስ አውሎጊስ መነኮስ (annual) | ቅድስት ጣጡስ ሰማዕት (annual) | አባ አቡናፍር ገዳማዊ (annual) | ቅዱስ ኪስጦስ ሰማዕት (annual) | ቅዱስ ፊቅጦር ምዑዝ (annual) | ቅድስት ኤልሳቤጥ (የመጥምቁ ዮሐንስ እናት) (monthly)
3-17,77,13,9,4,9,31,ቅዱስ ዮሐንስ አፈ ወርቅ (ፍልሠቱ) (annual) | አባ ሲኖዳ (ዘደብረ ጽሙና - ጐጃም) (annual) | ጻድቃን እለ ወጺፍ (annual) | ቅዱሳን አብርሃምና ሐሪክ (annual) | ያዕቆብ ሐዋርያ (monthly) | መክሲሞስና ዱማቴዎስ (monthly) | አባ ዸላሞን (monthly) | አባ ለትጹን (monthly) | ቅዱስ ኤዺፋንዮስ (monthly)
3-18,78,8,1,1,7,12,ቅዱስ ፊልዾስ ሐዋርያ (ከ፲፪ቱ) (annual) | ቅዱስ ኤላውትሮስና እናቱ እንትያ (ሰማዕታት) (annual) | ቅዱሳት ደናግል አጥራስስ ወዮና (ሰማዕታት) (annual) | ቅዱስ አትናቴዎስ የዋሕ (annual) | አቡነ አኖሬዎስ ዓቢይ (monthly) | ማር ያዕቆብ ግብጻዊ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ከ፯፪ቱ አርድእት) (monthly)
3-19,79,10,8,3,7,30,ቅዱስ ሰርጊስ ሰማዕት (annual) | ቅዱስ ቴዎፍሎስ ሰማዕት (annual) | ቅዱሳን ዸጥሪቃና ደማሊስ (የቅዱሱ ሚስትና ልጅ) (annual) | ቅዱስ በርተሎሜዎስ ሐዋርያ (ልደቱ) (annual) | ቅዱስ ኤስድሮስ ሰማዕት (monthly) | አቡነ ስነ ኢየሱስ (monthly) | ቅዱስ ይምርሐነ ክርስቶስ (monthly)
3-20,80,7,4,1,6,14,ቅዱስ አንያኖስ (አንያኑ) (annual) | ቅዱስ ዮሐንስ ሐፂር (monthly) | ቅዱስ አክሎግ ቀሲስ (monthly) | ቅዱስ አፄ ካሌብ ጻድቅ (ንጉሠ ኢትዮዽያ) (monthly) | አባ አሞንዮስ ዘሃገረ ቶና (monthly) | ቅድስት ሳድዥ የዋሒት (monthly)
3-21,81,11,21,1,10,9,ቅዱስ ጐርጐርዮስ ዘሮሜ (annual) | ቅዱስ ዮሐንስ ዘአስዩጥ (annual) | ቅዱስ ቆዝሞስ ሊቀ ዻዻሳት (annual) | ቅድስት ዲቦራ ዘድልበት (annual) | ቅዱስ ዘኬዎስ ሐጺር (annual) | አበው ጎርጎርዮሳት (monthly) | አቡነ ምዕመነ ድንግል (monthly) | አቡነ አምደ ሥላሴ (monthly) | አባ አሮን ሶርያዊ (monthly) | አባ መርትያኖስ ጻድቅ (monthly)
3-22,82,10,5,2,8,20,"ቅዱሳን ቆዝሞስ ወድምያኖስ (ሰማዕታት) (annual) | ቅድስት ቴዎዳዳ (እናታቸው) (annual) | ""፫፲፩"" ሰማዕታት (የነ ቆዝሞስ ማሕበር) (annual) | ቅዱስ ደቅስዮስ (የእመቤታችን ወዳጅ) (monthly) | አባ እንጦንስ አበ መነኮሳት (monthly) | አባ ዻውሊ የዋህ (monthly) | ቅዱስ ዮልዮስ ሰማዕት (monthly) | ቅዱስ ሉቃስ ወንጌላዊ ሐዋርያ (monthly)"
3-23,83,10,13,3,7,30,ቅዱስ ቆርኔሌዎስ (ሐዋርያዊ ጻድቅ) (annual) | ቅዱስ አብድዩ ነቢይ (annual) | አባ ጢሞቴዎስ ገዳማዊ (monthly) | ቅዱስ ዳንኤል ነቢይ (monthly) | አባ ሳሙኤል (monthly) | አባ ስምዖን (monthly) | አባ ገብርኤል (monthly)
3-24,84,13,13,3,10,23,"ቅዱስ አዝቂር ሰማዕት (annual) | ""፵፰"" ሰማዕታት (ማሕበሩ) (annual) | አባ ዮሴፍ ዘሃገረ ጻን (annual) | ቅዱስ ዲዮስቆሮስ ጥዑመ ዜና (annual) | ቅዱስ ኪርያቅ ሰማዕት (annual) | ቅዱስ ቶማስ ዘመርዐስ (monthly) | አቡነ ዘዮሐንስ ጻድቅ ዘክብራን (monthly) | ቅዱስ አጋቢጦስ (ጻድቅ ኤዺስቆዾስ) (monthly) | ቅዱስ አብላርዮስ ታላቁ (monthly) | ቅዱስ አባ ሙሴ ጸሊም (ኢትዮዽያዊ) (monthly)"
3-25,85,9,8,2,7,22,ቅዱሳን ታቦትና ኖኅ (ወላጆቹ) (annual) | ቅዱስ ሮማኖስ (annual) | ቅድስት ቴክላ ሐዋርያዊት (monthly) | ቅዱስ አበከረዙን ሰማዕት (monthly) | ቅዱስ ዱማድዮስ ሶርያዊ (monthly) | ቅዱስ አቡፋና ጻድቅ (monthly) | ታላቁ አባ ቢጻርዮን (monthly)
3-26,86,9,2,1,8,11,አቡነ ሃብተ ማርያም ንጹሕ (annual) | ቅዱሳን ሰማዕታተ ናግራን (annual) | ቅዱስ ሒሩት አረጋዊ (annual) | ቅዱሳን ቢላርያኖስ ኪልቅያና ታቱስብያ (ሰማዕታት) (annual) | ቅዱስ ጐርጐርዮስ ዘደሴተ ሰንሲላ (annual) | ቅድስት ዮስቴና ቡርክት (annual) | ቅዱስ ቶማስ ሐዋርያ (monthly) | ቅዱስ አቡነ ሰላማ ከሣቴ ብርሃን (monthly)
3-27,87,12,16,4,8,33,ቅዱስ ያዕቆብ ዘግሙድ (annual) | ቅዱስ ፊልሞና ሐዋርያ (annual) | ቅዱስ ቀሌምንጦስ ሰማዕት (annual) | ቅዱስ ጢሞቴዎስ ሰማዕት (annual) | አባ ገብረ ዮሐንስ ጻድቅ (annual) | ቅዱስ መቃርስ (የመነኮሳት ሁሉ አለቃ) (monthly) | ቅዱስ ገላውዴዎስ ሰማዕት (ንጉሠ ኢትዮዽያ) (monthly) | ቅዱስ ቢፋሞን ጻድቅና ሰማዕት (monthly)
3-28,88,8,4,2,6,25,ቅዱስ ሰረባሞን ሰማዕት (annual) | ቅዱሳን አበው (አብርሃም ይስሐቅና ያዕቆብ) (monthly) | ቅዱስ እንድራኒቆስና ሚስቱ ቅድስት አትናስያ (monthly) | ቅድስት ዓመተ ክ ክርስቶስ (monthly) | ቅዱስ ቴዎድሮስ ሮማዊ (ሰማዕት) (monthly) | ቅዱስ አባዲርና ቅድስት ኢራኢ (monthly)
3-29,89,8,12,4,4,50,ቅዱስ ዼጥሮስ ተፍጻሜተ ሰማዕት (annual) | ቅዱስ ቀሌምንጦስ ሐዋርያ (ዘሮም) (annual) | ቅዱስ ማርቆስ ዘቶርማቅ (monthly) | ቅድስት አርሴማ ድንግል (monthly)
3-30,90,10,5,2,8,20,አፄ ገብረ መስቀል ጻድቅ (ንጉሠ ኢትዮዽያ) (annual) | ቅዱስ አካክዮስ ሊቅ (annual) | ቅዱሳን ቆዝሞስ ወድምያኖስ (annual) | ቅዱስ አናንዮስ ዘዓምድ (annual) | አባ መርቆሬዎስ ሰማዕት (annual) | ቅዱስ ጐርጐርዮስ ነባቤ መለኮት (monthly) | ቅድስት ሶፍያ ሰማዕት (monthly) | አባ ሣሉሲ ክቡር ጻድቅ (monthly)
4-1,91,10,18,5,5,50,ቅድስት ቤርሳቤህ (ቤትስባ) (annual) | ናቡቴ ኢይዝራኤላዊ (annual) | አባ ዮሐንስ ሊቀ ጳጳሳት (annual) | ቅዱስ በርተሎሜዎስ ሐዋርያ (monthly) | ቅዱስ ሚልኪ ትሩፈ ምግባር (monthly)
4-2,92,13,6,3,10,23,"አባ ሖር ጻድቅ (annual) | ቅዱስ አውካቲዎስ ሰማዕት (annual) | አባ አንበስ ሰማዕት (annual) | ፯,0፫፫ ሰማዕታት (የቅዱስ ፋሲለደስ ማሕበር) (annual) | ቅዱስ ናትናኤል መነኮስ (annual) | ቅዱስ ኢዮብ ጻድቅ ተአጋሲ (monthly) | ቅዱስ አቤል ጻድቅ (monthly) | ቅዱስ አባ ዻውሊ ገዳማዊ (ታላቁ) (monthly) | ሊቁ አባ ሕርያቆስ (monthly) | ቅዱስ ሳዊሮስ ዘአንጾኪያ (monthly)"
4-3,93,8,11,5,3,62,በዓታ ለእግዝእትነ ማርያም (annual) | ቅዱሳን ካህናት ዘካርያስና ስምዖን (annual) | ቅዱስ ቄርሎስ ሊቅ (ዓምደ ሃይማኖት) (monthly)
4-4,94,7,9,3,4,43,አባ ጻዕ (annual) | አባ ያዕቆብ (annual) | ቅድስት ታዖድራ (annual) | ቅድስት ሶፍያ ሰማዕት (monthly)
4-5,95,8,10,3,5,38,ቅድስት አውጋንያ ተጋዳሊት (annual) | ቅዱስ ፊልዾስ (annual) | ቅዱስ ናሆም ነቢይ (annual) | ቅዱስ ዼጥሮስ ሊቀ ሐዋርያት (monthly) | ቅዱስ ዻውሎስ ብርሃነ ዓለም (monthly)
4-6,96,5,11,1,4,20,"""፩፲፱"" ሰማዕታት (ማሕበሯ) (annual) | ቅዱስ ስምዖን ጻድቅ (ጫማ ሠፊው) (annual) | አባ አብርሃም ሶርያዊ (annual) | ቅዱስ እንጣልዮስ ሰማዕት (annual)"
4-7,97,10,7,3,7,30,ስብከተ ነቢያት (annual) | አባ ዳንኤል ገዳማዊ (annual) | አባ ማቴዎስ ገዳማዊ (annual) | ብጽዕት ዲዮጥርስ (annual) | አባ ሲኖዳ (የባሕታውያን አለቃ) (monthly) | አባ ባውላ ገዳማዊ (monthly) | ቅዱስ አትናቴዎስ ሐዋርያዊ (monthly)
4-8,98,14,4,3,11,21,አባ ሳሙኤል ዘደብረ ቀልሞን (annual) | አባ ዮሐንስ ዘደማስቆ (ሊቁ) (annual) | አባ ኤሲና ቅድስት ቴክላ (annual) | ቅዱሳት በርባራና ዮልያና (annual) | ቅድስት እንባ መሪና (annual) | ቅዱስ ገብረ ማርያም ተአማኒ (annual) | አባ ያሮክላ ሊቀ ዻዻሳት (annual) | አቡነ እስትፋሰ ክርስቶስ (ልደታቸው) (annual) | ቅዱስ ሙሴ ሊቀ ነቢያት (monthly) | አባ ብሶይ (ቢሾይ) (monthly) | ቅዱስ ማትያስ ሐዋርያ (ከ፲፪ቱ ሐዋርያት) (monthly)
4-9,99,9,8,3,6,33,ቅዱስ አባ በአሚን (ጻድቅና ሰማዕት) (annual) | ቅድስት አርምያ (annual) | ቅዱስ ዘካርያስ (annual) | ቅዱሳን ፫፲፰ቱ ሊቃውንት (monthly) | አባ በርሱማ ሶርያዊ (ለሶርያ መነኮሳት ኁሉ አባት) (monthly) | የብሔረ ብፁዐን ጻድቃን (monthly)
4-10,100,12,6,3,9,25,ቅዱስ ኒቆላዎስ ሊቅ (annual) | ቅዱስ ሳዊሮስ ሊቅ (ዘአንጾኪያ) (annual) | ቅድስት ሱርስት ገዳማዊት (annual) | ቅዱስ ጥዋሽ ሕጽው (annual) | ቅዱሳን ተላስስና አልዓዛር (ሰማዕታት) (annual) | ቅዱስ ናትናኤል ሐዋርያ (monthly) | ቅዱስ ኒቆላዎስ ዘሃገረ ሜራ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ወልደ እልፍዮስ) (monthly) | ቅድስት ዕሌኒ ንግስት (monthly)
4-11,101,9,10,3,6,33,ታላቁ አባ በኪሞስ (annual) | ቅዱስ በርተሎሜዎስ (annual) | ቅዱስ ቴዎድሮስ (annual) | ቅዱስ በጥላን (annual) | ማር ገላውዴዎስ ሰማዕት (monthly) | ቅድስት ሐና ቡርክት (monthly)
4-12,102,12,18,4,8,33,ቅዱሳን አንቂጦስ ወፎጢኖስ (ሰማዕታት) (annual) | አባ ነድራ (annual) | ቅዱስ ዮሐንስ ተአማኒ (annual) | ጉቡዓን ኤዺስ ቆዾሳት (annual) | ቅዱስ ዮሐንስ አፈ ወርቅ (monthly) | ቅድስት ክርስቶስ ሠምራ (monthly) | ቅዱስ ማቴዎስ ሐዋርያ (monthly) | ቅዱስ ድሜጥሮስ ሊቅ (monthly)
4-13,103,12,19,4,8,33,"ቅዱስ መቃርስ ገዳማዊ (annual) | አባ አብራኮስ ገዳማዊ (annual) | ብጽዕት ሐና (የእመቤታችን እናት) (annual) | አባ በጽንፍርዮስ ሰማዕት (annual) | አባ ሚካኤል ዘቀልሞን (annual) | ቅዱስ አርሳንዮስ ጠቢብ ገዳማዊ (monthly) | ቅዱስ አስከናፍር ሮማዊ (monthly) | ""፲፫ቱ"" ግኁሳን አበው (monthly)"
4-14,104,14,4,1,13,7,"ዕለተ ብርሃን (annual) | ቅዱስ መርምሕናምና እህቱ ሣራ (annual) | ""፬0"" ሰማዕታት (የቅዱሱ ተከታዮች) (annual) | ""፲፯0,000"" ሰማዕታት (የቅዱሱ ሠራዊት) (annual) | ቅድስት ነሣሒት ቡርክት (annual) | ቅዱስ ስምዖን ሰማዕት (annual) | ቅዱስ አሞንዮስ ሰማዕት (annual) | አባ ገብረ ክርቶስ ሊቀ ዻዻሳት (annual) | አባ ስምዖን ገዳማዊ (monthly) | አባ ዮሐንስ ጻድቅ (monthly) | ቅዱስ ፊልዾስ ሐዋርያ (ከ፯፪ቱ አርድእት) (monthly) | ቅዱስ ገብረ ክርስቶስ መርዓዊ (monthly) | ቅዱስ ሙሴ መርዓዊ (monthly)"
4-15,105,9,6,2,7,22,ቅዱስ ጐርጐርዮስ ሊቅ (ዘአርማንያ) (annual) | አቡነ ኤዎስጣቴዎስ ረባን (annual) | ቅዱስ ሉቃስ ዘዓምድ (annual) | አባ ይምላህ (annual) | ቅዱስ ኤፍሬም ሶርያዊ (አፈ በረከት) (monthly) | ቅድስት እንባ መሪና (monthly) | ቅድስት ክርስጢና (monthly)
4-16,106,9,4,3,6,33,ቅዱስ ጌዴዎን ኃያል (annual) | ማርያም እህተ ሙሴ (annual) | ቅድስት ኤልሳቤጥ (የመጥምቁ ዮሐንስ እናት) (monthly) | ቅዱስ አኖሬዎስ ጻድቅ (monthly) | አባ ዳንኤል ገዳማዊ (monthly) | አባ አቡናፍር ገዳማዊ (monthly)
4-17,107,11,8,3,8,27,ቅዱስ ሉቃስ ዘዓምድ (annual) | ቅዱስ ናትናኤል ጻማዊ (annual) | ቅዱስ ማርቆስ (annual) | ቅዱስ ያዕቆብ ሐዋርያ (ወልደ ዘብዴዎስ) (monthly) | ቅዱሳን አበው መክሲሞስና ዱማቴዎስ (monthly) | አባ ዸላሞን ፈላሢ (monthly) | አባ ለትጹን የዋህ (monthly) | ቅዱስ ኤዺፋንዮስ ሊቅ (monthly)
4-18,108,10,2,2,8,20,ቅዱስ ቶማስ ሐዋርያ (ፍልሠቱ) (annual) | ቅዱስ ቲቶ ሐዋርያ (ፍልሠቱ) (annual) | ቅዱስ ፊልሞና ባሕታዊ (annual) | ቅዱስ ኢርቅላ (annual) | አቡነ አኖሬዎስ ዓቢይ (monthly) | ማር ያዕቆብ ግብጻዊ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ከ፯፪ቱ) (monthly) | ቅዱስ ፊልዾስ ሐዋርያ (ከ፲፪ቱ) (monthly)
4-19,109,7,12,4,3,57,ቅዱስ ዮሐንስ ዘቡርልስ (annual) | አቡነ ስነ ኢየሱስ ጻድቅ (annual) | ቅዱስ ኤስድሮስ ሰማዕት (monthly)
4-20,110,9,4,1,8,11,ቅዱስ ሐጌ ነቢይ (annual) | አባ አውጋንዮስ (annual) | ታውፊና ንግሥት (annual) | ቅዱስ ዮሐንስ ሐፂር (monthly) | ቅዱስ አክሎግ ቀሲስ (monthly) | ቅዱስ አፄ ካሌብ ጻድቅ (ንጉሠ ኢትዮዽያ) (monthly) | አባ አሞንዮስ ዘሃገረ ቶና (monthly) | ቅድስት ሳድዥ የዋሒት (monthly)
4-21,111,9,21,1,8,11,ኖላዊ ሔር (annual) | ቅዱስ በርናባስ ሐዋርያ (annual) | አባ ይስሐቅ ጻድቅ (annual) | አበው ጎርጎርዮሳት (monthly) | አቡነ ምዕመነ ድንግል (monthly) | አቡነ አምደ ሥላሴ (monthly) | አባ አሮን ሶርያዊ (monthly) | አባ መርትያኖስ ጻድቅ (monthly)
4-22,112,10,11,3,7,30,ተአምረ ማርያም (annual) | ቅዱስ አንስጣስዮስ ሊቅ (annual) | አባ አርኬላዎስ (annual) | አባ እንጦንስ (monthly) | አባ ዻውሊ የዋህ (monthly) | ቅዱስ ዮልዮስ (monthly) | ቅዱስ ሉቃስ ወንጌላዊ (monthly)
4-23,113,9,14,4,5,44,አባ ጢሞቴዎስ ገዳማዊ (annual) | አባ ስምዖን ጻድቅ (annual) | አባ ገብርኤል ጻድቅ (annual) | አባ ይስሐቅ ጻድቅ (annual) | ቅዱስ ዳንኤል ነቢይ (monthly)
4-24,114,14,14,4,10,29,ቅዱሳን ጸጋ ዘአብና እግዚእ ኃረያ (annual) | ቅድስት አስቴር (annual) | አባ ፊሎንጐስ ሊቀ ዻዻሳት (annual) | አባ ዻውሊ ጻድቅ (annual) | ጻድቃን ቅዱሳን ዘከዲህ (annual) | ቅዱስ ቶማስ ዘመርዐስ (monthly) | አቡነ ዘዮሐንስ ጻድቅ ዘክብራን (monthly) | ቅዱስ አጋቢጦስ (ጻድቅ ኤዺስቆዾስ) (monthly) | ቅዱስ አብላርዮስ ታላቁ (monthly) | ቅዱስ አባ ሙሴ ጸሊም (ኢትዮዽያዊ) (monthly)
